Constituency,Name,Date
Reserved Seat,saira tarar,2024-04-18
Reserved Seat,huma akhtar chughtai,2024-04-18
Reserved Seat,mah jabeen khan abbasi,2024-04-18
Reserved Seat,gulnaz shahzadi,2024-04-18
Reserved Seat,shamaila rana,2024-04-18
Reserved Seat,shazia farid,2024-04-18
Reserved Seat,syeda amnah batool,2024-04-18
Reserved Seat,samina khalid ghurki,2024-04-18
Reserved Seat,nishasta daultana,2024-04-18
Reserved Seat,hina rabbani khar,2024-04-18
Reserved Seat,farukh khan,2024-04-18
Reserved Seat,sehar kamran,2024-04-18
Reserved Seat,sharmila sahiba faruqui hashaam,2024-04-18
Reserved Seat,shagufta jumani,2024-04-18
Reserved Seat,shahida rehmani,2024-04-18
Reserved Seat,syeda shehla raza,2024-04-18
Reserved Seat,mahtab akbar rashdi,2024-04-18
Reserved Seat,mussarat,2024-04-18
Reserved Seat,mahreen razzaq bhutto,2024-04-18
Reserved Seat,shazia sobia aslam,2024-04-18
Reserved Seat,naz balo,2024-04-18
Reserved Seat,sofia saeed shah,2024-04-18
Reserved Seat,nikhat shakeel khan,2024-04-18
Reserved Seat,sabheen ghoury,2024-04-18
Reserved Seat,rana ansar,2024-04-18
Reserved Seat,ghazala anjum,2024-04-18
Reserved Seat,shaheen,2024-04-18
Reserved Seat,naeema kishwar khan,2024-04-18
Reserved Seat,asma alamgir,2024-04-18
Reserved Seat,naeema kanwal,2024-04-18
Reserved Seat,shaista khan,2024-04-18
Reserved Seat,shahida begum,2024-04-18
Reserved Seat,izbal zehri,2024-04-18
Reserved Seat,kiran haider,2024-04-18
Reserved Seat,akhtar bibi,2024-04-18
Reserved Seat,aliya kamran,2024-04-18
Reserved Seat,kesoo mal kheal das,2024-04-18
Reserved Seat,nelson azeem,2024-04-18
Reserved Seat,isphanyar m bhandara,2024-04-18
Reserved Seat,neelum,2024-04-18
Reserved Seat,james iqbal,2024-04-18
Reserved Seat,ramesh kumar vankwani,2024-04-18
Reserved Seat,ramesh lal,2024-04-18
Reserved Seat,naveed aamir jeeva,2024-04-18
