Constituency,Name,Date
Reserved Seat,kiran imran dar,2024-06-20
Reserved Seat,zahra wadood fatemi,2024-06-20
Reserved Seat,asiya naz tanoli,2024-06-20
Reserved Seat,saba sadiq,2024-06-20
Reserved Seat,farah naz akbar,2024-06-20
Reserved Seat,munaza hassan,2024-06-20
Reserved Seat,farakh khan,2024-06-20
Reserved Seat,sehar kamran,2024-06-20
Reserved Seat,sharmila sahiba faruqui hashaam,2024-06-20
Reserved Seat,shagufta jumani,2024-06-20
Reserved Seat,shahida rehmani,2024-06-20
Reserved Seat,syeda shehla raza,2024-06-20
Reserved Seat,mussarat rafique mahesar,2024-06-20
Reserved Seat,nikhat shakeel khan,2024-06-20
Reserved Seat,sabheen ghoury,2024-06-20
Reserved Seat,rana ansar,2024-06-20
Reserved Seat,shaista khan,2024-06-20
Reserved Seat,shahida begum,2024-06-20
Reserved Seat,kiran haider,2024-06-20
Reserved Seat,aliya kamran,2024-06-20
Reserved Seat,darshan,2024-06-20
Reserved Seat,nelson azeem,2024-06-20
Reserved Seat,isphanyar m. bhandara,2024-06-20
Reserved Seat,naveed aamir,2024-06-20
