Constituency,Name,Date
Reserved Seat,samina khalid ghurki,2024-04-24
Reserved Seat,farukh khan,2024-04-24
Reserved Seat,sehar kamran,2024-04-24
Reserved Seat,sharmila sahiba faruqui hashaam,2024-04-24
Reserved Seat,shagufta jumani,2024-04-24
Reserved Seat,shahida rehmani,2024-04-24
Reserved Seat,syeda shehla raza,2024-04-24
Reserved Seat,mahtab akbar rashdi,2024-04-24
Reserved Seat,mussarat,2024-04-24
Reserved Seat,mahreen razzaq bhutto,2024-04-24
Reserved Seat,shazia sobia aslam,2024-04-24
Reserved Seat,naz baloch,2024-04-24
Reserved Seat,sofia saeed shah,2024-04-24
Reserved Seat,nikhat shakeel khan,2024-04-24
Reserved Seat,sabheen ghoury,2024-04-24
Reserved Seat,rana ansar,2024-04-24
Reserved Seat,ghazala anjum,2024-04-24
Reserved Seat,shaheen,2024-04-24
Reserved Seat,naeema kishwar khan,2024-04-24
Reserved Seat,sadaf ihsan,2024-04-24
Reserved Seat,asma alamgir,2024-04-24
Reserved Seat,naeema kanwal,2024-04-24
Reserved Seat,shaista khan,2024-04-24
Reserved Seat,shahida begum,2024-04-24
Reserved Seat,kiran haider,2024-04-24
Reserved Seat,kesoo mal kheal das,2024-04-24
Reserved Seat,nelson azeem,2024-04-24
Reserved Seat,isphanyar m bhandara,2024-04-24
Reserved Seat,neelum,2024-04-24
Reserved Seat,james iqbal,2024-04-24
Reserved Seat,ramesh lal,2024-04-24
Reserved Seat,naveed aamir jeeva,2024-04-24
