Constituency,Name,Date
NA-194,bilawal bhutto zardari,2024-06-25
NA-195,nazir ahmed bhugio,2024-06-25
NA-196,khurshed ahmed junejo,2024-06-25
NA-199,ali gohar khan mahar,2024-06-25
NA-200,nauman lslam shaikh,2024-06-25
NA-201,syed khursheed ahmed shah,2024-06-25
NA-202,nafisa shah,2024-06-25
NA-203,pir syed fazal ali shah jillani,2024-06-25
NA-204,syed javed ali shah jillani,2024-06-25
NA-205,syed abrar ali shah,2024-06-25
NA-206,zulfiqar ali behan,2024-06-25
NA-207,aseefa bhutto zardari,2024-06-25
NA-208,syed ghulam mustafa shah,2024-06-25
NA-209,shazia marri,2024-06-25
NA-210,salahuddin junejo,2024-06-25
NA-211,pir aftab hussain shah jilani,2024-06-25
NA-212,mir munawar ali talpur,2024-06-25
NA-213,nawab muhammad yousuf talpur,2024-06-25
NA-214,pir ameer ali shah jeelani,2024-06-25
NA-215,mahesh kumar malani,2024-06-25
NA-216,makhdoom jamil uz zaman,2024-06-25
NA-217,zulfiqar bachani,2024-06-25
NA-218,syed hussain tariq,2024-06-25
NA-219,abdul aleem khan,2024-06-25
NA-220,syed waseem hussain,2024-06-25
NA-221,syed naveed qamar,2024-06-25
NA-222,mir ghulam ali talpur,2024-06-25
NA-223,haji rasool bux chandio,2024-06-25
NA-224,syed ayaz ali shah sheerazi,2024-06-25
NA-225,sadiq ali memon,2024-06-25
NA-226,malik asad sikandar,2024-06-25
NA-227,lrfan ali leghari,2024-06-25
NA-229,jam abdul karim bijar,2024-06-25
NA-230,syed rafiullah,2024-06-25
NA-231,abdul hakeem baloch,2024-06-25
NA-232,aasia ishaque siddiqui,2024-06-25
NA-233,muhammad jawed hanif khan,2024-06-25
NA-234,muhammad moin aamer pirzada,2024-06-25
NA-235,muhammad iqbal khan (NA-235),2024-06-25
NA-236,hassaan sabir,2024-06-25
NA-237,asad alam niazi,2024-06-25
NA-238,sadiq iftikhar,2024-06-25
NA-239,sardar nabil ahmed gabol,2024-06-25
NA-241,mirza ikhtiar baig,2024-06-25
