Name,Province,Constituency,Party,Oath Taking Date
Mir Shabbir Ali Bijarani,Sindh,NA-192 (Kashmore-cum-Shikarpur),PPPP,2024-02-29
Mr. Muhammad Shaharyar Khan Mahar,Sindh,NA-193 (Shikarpur),PPPP,2024-02-29
Mr. Bilawal Bhutto Zardari,Sindh,NA-194 (Larkana-I),PPPP,2024-02-29
Mr. Nazir Ahmed Bhugio,Sindh,NA-195 (Larkana-II),PPPP,2024-02-29
Mr. Khurshed Ahmed Junejo,Sindh,NA-196 (Kamber Shahdadkot-I),PPPP,2024-04-29
Mir Amer Ali Khan Magsi,Sindh,NA-197 (Kamber Shahdadkot-II),PPPP,2024-02-29
Mr.  Khalid Ahmed Khan Lund,Sindh,NA-198(Ghotki-I),PPPP,2024-02-29
Mr. Ali Gohar Khan Mahar,Sindh,NA-199(Ghotki-II),PPPP,2024-02-29
Mr. Nauman Islam Shaikh,Sindh,NA-200(Sukkur-I),PPPP,2024-02-29
Syed Khursheed Ahmed Shah,Sindh,NA-201(Sukkur-II),PPPP,2024-02-29
Dr. Nafisa Shah,Sindh,NA-202(Khairpur-I),PPPP,2024-02-29
Pir Syed Fazal Ali Shah Jillani,Sindh,NA-203(Khairpur-II),PPPP,2024-02-29
Syed Javed Ali Shah Jillani,Sindh,NA-204(Khairpur-III),PPPP,2024-02-29
Syed Abrar Ali Shah,Sindh,NA-205(Naushero Feroze-I),PPPP,2024-02-29
Mr. Zulfiqar Ali Behan,Sindh,NA-206(Naushero Feroze-II),PPPP,2024-02-29
Ms. Aseefa Bhutto Zardari,Sindh,NA-207(Shaheed Benazirabad-I),PPPP,2024-04-15
Syed Ghulam Mustafa Shah,Sindh,NA-208(Shaheed Benazirabad-II),PPPP,2024-02-29
Ms. Shazia Marri,Sindh,NA-209(Sanghar-I),PPPP,2024-02-29
Mr. Salahuddin Junejo,Sindh,NA-210(Sanghar-II),PPPP,2024-02-29
Pir Aftab Hussain Shah Jilani,Sindh,NA-211(Mirpurkhas-I),PPPP,2024-02-29
Mir Munawar Ali Talpur,Sindh,NA-212(Mirpurkhas-II),PPPP,2024-02-29
Nawab Muhammad Yousuf Talpur,Sindh,NA-213(Umerkot),PPPP,2024-02-29
Pir Ameer Ali Shah Jeelani,Sindh,NA-214(Tharparkar-I),PPPP,2024-02-29
Dr. Mahesh Kumar Malani,Sindh,NA-215(Tharparkar-II),PPPP,2024-02-29
Makhdoom Jamil-uz- Zaman,Sindh,NA-216(Matiari),PPPP,2024-02-29
Mr. Zulfiqar Sattar Bachani,Sindh,NA-217(Tando Allahyar),PPPP,2024-02-29
Syed Hussain Tariq,Sindh,NA-218(Hyderabad-I),PPPP,2024-02-29
Mr. Abdul Aleem Khan,Sindh,NA-219(Hyderabad-II),MQM,2024-02-29
Syed Waseem Hussain,Sindh,NA-220(Hyderabad-III),MQM,2024-02-29
Syed Naveed Qamar,Sindh,NA-221(Tando Muhammad Khan),PPPP,2024-02-29
Mir Ghulam Ali Talpur,Sindh,NA-222(Badin-I),PPPP,2024-02-29
Haji Rasool Bux Chandio,Sindh,NA-223(Badin-II),PPPP,2024-02-29
Syed Ayaz Ali Shah Sheerazi,Sindh,NA-224(Sujawal),PPPP,2024-02-29
Mr. Sadiq Ali Memon,Sindh,NA-225(Thatta),PPPP,2024-02-29
Malik Asad Sikandar,Sindh,NA-226(Jamshoro),PPPP,2024-02-29
Mr. Irfan Ali Leghari,Sindh,NA-227(Dadu-I),PPPP,2024-02-29
Mr. Rafiq Ahmed Jamali,Sindh,NA-228(Dadu-II),PPPP,2024-02-29
Jam Abdul Karim Bijar,Sindh,NA-229(Malir-I),PPPP,2024-02-29
Syed Rafiullah,Sindh,NA-230(Malir-II),PPPP,2024-02-29
Mr. Abdul Hakeem Baloch,Sindh,NA-231(Malir-III),PPPP,2024-02-29
Ms. Aasia Ishaque Siddiqui,Sindh,NA-232(Korangi Karachi-I),MQM,2024-02-29
Mr. Muhammad Jawed Hanif Khan,Sindh,NA-233(Korangi Karachi-II),MQM,2024-02-29
Mr. Muhammad Moin Aamer Pirzada,Sindh,NA-234(Korangi Karachi-III),MQM,2024-02-29
Mr. Muhammad Iqbal Khan,Sindh,NA-235 (Karachi East-I),MQM,2024-02-29
Mr. Hassaan Sabir,Sindh,NA-236 (Karachi East-II),MQM,2024-02-29
Mr. Asad Alam Niazi,Sindh,NA-237 (Karachi East-III),PPPP,2024-02-29
Mr. Sadiq Iftikhar,Sindh,NA-238 (Karachi East-IV),MQM,2024-02-29
Sardar Nabil Ahmed Gabol,Sindh,NA-239 (Karachi South-I),PPPP,2024-02-29
Mr. Arshad Abdullah Vohra,Sindh,NA-240 (Karachi South-II),MQM,2024-02-29
Mirza Ikhtiar Baig,Sindh,NA-241 (Karachi South-III),PPPP,2024-02-29
Syed Mustufa Kamal,Sindh,NA-242 (Karachi Keamari-I),MQM,2024-02-29
