Name,Province,Constituency,Party,Oath Taking Date,City,Constituency Type,Country
rana atif,Punjab,NA-101,SIC,2024-02-29,Faisalabad,General,Pakistan
changaze ahmad khan,Punjab,NA-102,SIC,2024-02-29,Faisalabad,General,Pakistan
muhammad ali sarfraz,Punjab,NA-103,SIC,2024-02-29,Faisalabad,General,Pakistan
sahibzada muhammad hamid raza,Punjab,NA-104,SIC,2024-02-29,Faisalabad,General,Pakistan
usama hamza,Punjab,NA-105,SIC,2024-02-29,Toba Tek Singh,General,Pakistan
m junaid anwar chaudhry,Punjab,NA-106,PML (N),2024-02-29,Toba Tek Singh,General,Pakistan
mohammad riaz khan,Punjab,NA-107,SIC,2024-02-29,Toba Tek Singh,General,Pakistan
muhammad mahbob sultan,Punjab,NA-108,SIC,2024-02-29,Jhang,General,Pakistan
waqas akram,Punjab,NA-109,SIC,2024-02-29,Jhang,General,Pakistan
muhammad ameer sultan,Punjab,NA-110,SIC,2024-02-29,Jhang,General,Pakistan
muhammad arshad sahi,Punjab,NA-111,SIC,2024-02-29,Nankana Sahib,General,Pakistan
shezra mansab ali khan kharal,Punjab,NA-112,PML (N),2024-02-29,Nankana Sahib,General,Pakistan
ahmad atteeq anwer,Punjab,NA-113,PML (N),2024-02-29,Sheikhupura,General,Pakistan
rana tanveer hussain,Punjab,NA-114,PML (N),2024-02-29,Sheikhupura,General,Pakistan
khurram shahzad virk,Punjab,NA-115,SIC,2024-02-29,Sheikhupura,General,Pakistan
khurram munawar manj,Punjab,NA-116,SIC,2024-02-29,Sheikhupura,General,Pakistan
abdul aleem khan (NA-117),Punjab,NA-117,IPP,2024-02-29,Lahore,General,Pakistan
muhammad hamza shahbaz sharif,Punjab,NA-118,PML (N),2024-02-29,Lahore,General,Pakistan
ali pervaiz,Punjab,NA-119,PML (N),2024-04-29,Lahore,General,Pakistan
sardar ayaz sadiq,Punjab,NA-120,PML (N),2024-02-29,Lahore,General,Pakistan
waseem qadir,Punjab,NA-121,PML (N),2024-02-29,Lahore,General,Pakistan
sardar muhammad latif khan khosa,Punjab,NA-122,SIC,2024-02-29,Lahore,General,Pakistan
mian muhammad shehbaz sharif,Punjab,NA-123,PML (N),2024-02-29,Lahore,General,Pakistan
rana mubashar iqbal,Punjab,NA-124,PML (N),2024-02-29,Lahore,General,Pakistan
muhammad afzal,Punjab,NA-125,PML (N),2024-02-29,Lahore,General,Pakistan
malik saif ul malook khokhar,Punjab,NA-126,PML (N),2024-02-29,Lahore,General,Pakistan
attaullah tarar,Punjab,NA-127,PML (N),2024-02-29,Lahore,General,Pakistan
mohammad awn saqlain,Punjab,NA-128,IPP,2024-02-29,Lahore,General,Pakistan
mian muhammad azhar,Punjab,NA-129,SIC,2024-02-29,Lahore,General,Pakistan
mian muhammad nawaz sharif,Punjab,NA-130,PML (N),2024-02-29,Lahore,General,Pakistan
saad waseem sheikh,Punjab,NA-131,PML (N),2024-02-29,Kasur,General,Pakistan
rasheed ahmad khan,Punjab,NA-132,PML (N),2024-04-29,Kasur,General,Pakistan
azim ud din zahid,Punjab,NA-133,SIC,2024-02-29,Kasur,General,Pakistan
rana muhammad hayat khan,Punjab,NA-134,PML (N),2024-02-29,Kasur,General,Pakistan
nadeem abbas,Punjab,NA-135,PML (N),2024-02-29,Okara,General,Pakistan
riaz ul haq,Punjab,NA-136,PML (N),2024-02-29,Okara,General,Pakistan
syed raza ali gillani,Punjab,NA-137,SIC,2024-02-29,Okara,General,Pakistan
muhammad mueen wattoo,Punjab,NA-138,PML (N),2024-02-29,Okara,General,Pakistan
ahmad raza maneka,Punjab,NA-139,PML (N),2024-02-29,Pakpattan,General,Pakistan
rana iradat sharif khan,Punjab,NA-140,PML (N),2024-02-29,Pakpattan,General,Pakistan
syed imran ahmad shah,Punjab,NA-141,PML (N),2024-02-29,Sahiwal,General,Pakistan
usman ali,Punjab,NA-142,IND,2024-02-29,Sahiwal,General,Pakistan
rai hassan nawaz khan,Punjab,NA-143,SIC,2024-02-29,Sahiwal,General,Pakistan
muhammad raza hayat harraj,Punjab,NA-144,PML (N),2024-02-29,Khanewal,General,Pakistan
muhammad khan daha,Punjab,NA-145,PML (N),2024-02-29,Khanewal,General,Pakistan
zahoor hussain qureshi,Punjab,NA-146,IND,2024-04-19,Khanewal,General,Pakistan
choudhary iftikhar nazir,Punjab,NA-147,PML (N),2024-02-29,Khanewal,General,Pakistan
syed ali qasim gillani,Punjab,NA-148,PPPP,2024-06-07,Multan,General,Pakistan
malik muhammad aamir dogar,Punjab,NA-149,SIC,2024-02-29,Multan,General,Pakistan
makhdoom zain hussain qureshi,Punjab,NA-150,SIC,2024-02-29,Multan,General,Pakistan
syed ali musa gilani,Punjab,NA-151,PPPP,2024-02-29,Multan,General,Pakistan
syed abdul kadir gillani,Punjab,NA-152,PPPP,2024-02-29,Multan,General,Pakistan
rana muhammad qasim noon,Punjab,NA-153,PML (N),2024-02-29,Multan,General,Pakistan
abdul rehman khan kanju,Punjab,NA-154,PML (N),2024-04-01,Lodhran,General,Pakistan
khan muhammad saddique khan balooch,Punjab,NA-155,PML (N),2024-02-29,Lodhran,General,Pakistan
ayesha nazir,Punjab,NA-156,SIC,2024-02-29,Vehari,General,Pakistan
sajid mehdi,Punjab,NA-157,PML (N),2024-02-29,Vehari,General,Pakistan
begum tehmina daultana,Punjab,NA-158,PML (N),2024-02-29,Vehari,General,Pakistan
aurangzeb khan khichi,Punjab,NA-159,IND,2024-02-29,Vehari,General,Pakistan
muhammad abdul ghaffar watto,Punjab,NA-160,PML (N),2024-02-29,Bahawalnagar,General,Pakistan
alam dad laleka,Punjab,NA-161,PML (N),2024-02-29,Bahawalnagar,General,Pakistan
ehsan ul haq bajwa,Punjab,NA-162,PML (N),2024-02-29,Bahawalnagar,General,Pakistan
muhammad ijaz ul haq,Punjab,NA-163,PML (Z),2024-02-29,Bahawalnagar,General,Pakistan
mian riaz hussain pirzada,Punjab,NA-164,PML (N),2024-02-29,Bahawalpur,General,Pakistan
tariq bashir cheema,Punjab,NA-165,PML,2024-02-29,Bahawalpur,General,Pakistan
makhdoom syed sami ul hassan gillani,Punjab,NA-166,PML (N),2024-02-29,Bahawalpur,General,Pakistan
muhammad usman awaisi,Punjab,NA-167,PML (N),2024-02-29,Bahawalpur,General,Pakistan
malik muhammad iqbal,Punjab,NA-168,PML (N),2024-02-29,Bahawalpur,General,Pakistan
syed murtaza mahmud,Punjab,NA-169,PPPP,2024-02-29,Rahim Yar Khan,General,Pakistan
mian ghous muhammad,Punjab,NA-170,SIC,2024-02-29,Rahim Yar Khan,General,Pakistan
makhdoom tahir rashid ud din,Punjab,NA-171,PPPP,2024-09-14,Rahim Yar Khan,General,Pakistan
javaid iqbal waraich,Punjab,NA-172,SIC,2024-02-29,Rahim Yar Khan,General,Pakistan
syed mustafa mehmood,Punjab,NA-173,PPPP,2024-02-29,Rahim Yar Khan,General,Pakistan
muhammad azhar khan leghari,Punjab,NA-174,PML (N),2024-02-29,Rahim Yar Khan,General,Pakistan
jamshaid ahmad,Punjab,NA-175,SIC,2024-02-29,Muzaffargarh,General,Pakistan
nawabzada iftikhar ahmed khan babar,Punjab,NA-176,PPPP,2024-02-29,Muzaffargarh,General,Pakistan
muhammad moazzam ali khan,Punjab,NA-177,SIC,2024-02-29,Muzaffargarh,General,Pakistan
aamir talal khan,Punjab,NA-178,PML (N),2024-02-29,Muzaffargarh,General,Pakistan
muhammad shabbir ali qureshi,Punjab,NA-179,SIC,2024-02-29,Kot Addu,General,Pakistan
fiaz hussain,Punjab,NA-180,SIC,2024-02-29,Kot Addu,General,Pakistan
umber majeed,Punjab,NA-181,SIC,2024-02-29,Layyah,General,Pakistan
awais haider jakhar,Punjab,NA-182,SIC,2024-02-29,Layyah,General,Pakistan
khawaja sheraz mehmood,Punjab,NA-183,SIC,2024-02-29,Taunsa,General,Pakistan
abdul qadir khan,Punjab,NA-184,PML (N),2024-02-29,D.G.Khan,General,Pakistan
zartaj gul,Punjab,NA-185,SIC,2024-02-29,D.G.Khan,General,Pakistan
sardar awais ahmad khan leghari,Punjab,NA-186,PML (N),2024-02-29,D.G.Khan,General,Pakistan
ammar ahmad khan leghari,Punjab,NA-187,PML (N),2024-02-29,Rajanpur,General,Pakistan
hafeez ur rehman khan drishak,Punjab,NA-188,PML (N),2024-02-29,Rajanpur,General,Pakistan
shamsher ali mazari,Punjab,NA-189,PML (N),2024-02-29,Rajanpur,General,Pakistan
aijaz hussain jakhrani,Sindh,NA-190,PPPP,2024-02-29,Jacobabad,General,Pakistan
ali jan mazari,Sindh,NA-191,PPPP,2024-02-29,Jacobabad,General,Pakistan
mir shabbir ali bijarani,Sindh,NA-192,PPPP,2024-02-29,Kashmore,General,Pakistan
